##Title: Слоўнік граматычна-лінгвістычнае тэрмінолёгіі (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Слоўнік граматычна-лінгвістычнае тэрмінолёгіі (праект)</b>. Менск: Інбелкульт, 1927.</p>
</div>
<div>
	<p class="spoiler">Ад Галоўнае Тэрмінолёгічнае Камісіі</p>
	<p>Першая Беларуская граматычная тэрмінолёгія апрацована Б. Тарашкевічам („Беларуская граматыка для школ”, Вільня, 1918 г.). У 1921 годзе гэтая тэрмінолёгія была перагледжана, выпраўлена і дапоўнена Навукова-Тэрмінолёгічнаю Камісіяю, што існавала ў той час пры Наркамасьвеце, на аснове проекту, зложанага членам тае Камісіі Яз. Лёсікам, і выдрукавана ў журнале „Вестник Комиссариата Просвещения“ за 1921 г. № 2. Гэтая перагледжаная і выпраўленая тэрмінолёгія ўжывалася нашымі школамі і аўтарамі да 1926 г. За гэты час школьная практыка ўнесла ў яе шмат зьмен і дадаткаў, выкліканых, галоўным чынам, патрэбамі формальнае граматыкі. Апроч таго, яна ахапляла толькі элемэнтарныя курсы школьных граматык.</p>
	<p>У восень 1926 году на агульным сходзе Аддзелу Мовы і Літаратуры ІБК пастаноўлена было апрацаваць граматычна-лінгвістычную тэрмінолёгію. Проект гэтае тэрмінолёгіі даручана было злажыць члену Інбелкульту Яз. Лёсіку.</p>
	<p>Апрацованы Яз. Лёсікам проект перад разглядам яго ў Галоўнай Тэрмінолёгічнай Камісіі, пасылаўся для паправак, уваг і дадаткаў лінгвістым і мовазнаўцам − проф. Э.-Шыпілу, проф. П. Бузуку, С. Некрашэвічу, Л. Цьвяткову і іншым. Вясною 1927 г. проект разам з надасланым матар‘ялам ад спэцыялістых разглядаўся Галоўнаю Тэрмінолёгічнаю Камісіяю ў складзе: старшыні Камісіі Яз. Лёсіка, яе членаў − Ів. Луцэвіча (Янка Купала), К. Міцкевіча (Якуб Колас), Л. Цьвяткова і сакратара Камісіі А. Гурла і быў зацьверджан для друку у форме расійска-беларускага слоўніка з невялікімі зьменамі і дадаткамі ў проекце, прычым для найбольш ужываных граматычных тэрмінаў пастаноўлена было дадаць лацінскі тэкст.</p>
	<p>Перад выпускам у сьвет тэрмінолёгія школьнага характару зачытвалася на сходзе Менскіх настаўнікаў і выкладчыкаў беларускае мовы, якія спэцыяльна для гэтага склікаліся Г. Тэрмінолёгічнаю Камісіяю. Настаўнікі давалі шмат цэнных уваг і паправак, але за бракам часу разгледжаны былі толькі тэрміны на літары А, Б, В, Г і Д.</p>
	<p>Слоўнік гэты, як і ўсе папярэднія тэрмінолёгіі, выходзіць у сьвет як <i>проект</i> і мае дыскусійны характар. У далейшым ён можа зьмяняцца, калі запатрабуе таго навуковы досьлед і школьная практыка. Дзеля гэтага кожны можа падаваць свое ўвагі, якія Камісія будзе разглядаць і прымаць пад увагу. Але <i>для настаўнікаў і аўтараў падручнікаў гэтая тэрмінолёгія зьяўляецца абавязковаю, покі ня зроблены будуць зьмены самою Камісіяю, прынятым у Інбелкульце парадкам</i>.</p>
	<p>Выпускаючы ў сьвет кожную тэрмінолёгію, Г. Тэрмінолёгічная Камісія і далей зьбірае тэрмінолёгічны матар‘ял − народны і літаратурны, каб у наступных выданьнях пашыраць і выпраўляць тое, што на падставе новага матар‘ялу будзе вымагаць патрэбных дадаткаў і паправак.</p>
	<p>Даць дакладную і дасканалую тэрмінолёгію для тае ці іншае галіны навукі, якая-б у поўнай меры адпавядала навуковасьці і практычнасьці − справа нялёгкая, і Камісія лічыць, што ўдасканаліць сваю работу яна зможа толькі ў тым выпадку, калі на помач ёй прыдзе актыўная праца ўсіх зацікаўленых асоб і ўстаноў. Дзеля гэтага Камісія зварачаецца да ўсіх з просьбаю падсылаць ёй свае ўвагі і папраўкі.</p>
	<p>Сабраны тэрмінолёгічны матар‘ял з тае ці іншае галіны навукі або ўвагі да тае ці іншае надрукованае тэрмінолёгіі трэба прысылаць у Інбелкульт (Менск, Рэволюцыйная вул., № 21) на імя Інстытуту Навуковае мовы. Корэспондэнцыя на імя Інбелкульту аплаце не падлягае.</p>
	<p>У тэксьце прыняты наступныя скарачэньні:</p>
	<p>1) <i>лац.</i> − Лацінскі тэрмін.</p>
	<p>2) <i>мэд. т.<i> − Мэдычная тэрмінолёгія.</p>
	<p>3) Нс. − Н. Носовнч. Словарь белорусского наречня.</p>
	<p>4) Н. Т. 2. − Беларуская Навуковая Тэрмінолёгія. Выпуск другі. Практыка і тэорыя літаратурнага мастацтва.</p>
	<p>5) Н. Т. 4. − Тое-ж самае. Выпуск чацьвёрты. Тэрмінолёгія лёгікі і псыхолёгіі.</p>
	<p>6) Н. Т. 7. − Тое-ж самае. Выпуск сёмы. Музычныя тэрміны.</p>
	<p>7) Гр. Т. − Граматычная тэрмінолёгія, выдрукаваная ў журнале „Вестник Комиссариата Просвещ.” № 2 за 1921.</p>
	<p>8) <i>ст. тэр.</i> − Стары, рэдка ўжываны тэрмін.</p>
	<p> </p>
	<p><i>Галоўная Тэрмінолёгічная Камісія.</i></p>
	<p>Менск, 21 VI 27.</p>
</div>
##HTMLDescription_END
##ArticleLang: ru/be

##Chapter: 1. Расійска-беларускі слоўнік
абзац	абза´ц
абсолютное изглашение	абсалю´тнае выгучэ´ньне
абстрактный	абстра´ктны, адця´гнены (Н.Т.4)
агглютинация	аглютына´цыя ("прыклейваньне")
агглютинативные языки	аглютынацы´йныя мо´вы
агглютинирующий строй языка	аглютынацы´йны лад мо´вы
аграфия	агра´фія
азбука	а´збука
азбука гражданская	а´збука кіры´ліца
азбука латинская	а´збука лаці´нка
аканье	а´каньне
аканье диссимилятивное	а´каньне дысыміляцы´йнае
аканье сильное	а´каньне вялі´кае
аканье умеренное	а´каньне сярэ´дняе
аканье слабое	а´каньне мало´е
аканье широкое	а´каньне шыро´кае
активные глагольные прилагательные	акты´ўныя, або дзе´йныя дзеясло´ўныя прыме´тнікі
акустика	аку´стыка
акустический	акусты´чны, слухавы´
акцент	акцэ´нт, вымо´ва, на´ціск (Н.Т.2)
акцентация	акцэнта´цыя
акцентировать	акцэнтава´ць
акцентуация	акцэнтава´ньне
алфавит	альфабэ´т
анализ слова	ана´ліз, або раскла´д сло´ва
аналитический	аналіты´чны, раскладны
аналитические языки	аналіты´чныя мо´вы
аналогия	аналё´гія, падабе´нства, падо´бнасьць (Н.Т.2)
аналогический	аналёгі´чны, падо´бны (Н.Т.2)
апостроф	апо´страф
артикуляция	артыкуля´цыя
артикулятионная база	артыкуляцы´йная ба´за
архаизм	архаі´зм, застарэ´ласьць
архаистический	архаі´чны, застарэ´лы
аспираты	асьпіра´ты (лац. aspіrare "прыдыхаць")
ассимиляция	асыміля´цыя, або прыпадабне´ньне
ассимиляция прогрессивная	асыміля´цыя прогрэсі´ўная
ассимиляция регрессивная	асыміля´цыя рэгрэсі´ўная
ассимиляция полная	асыміля´цыя по´ўная
ассимиляция неполная	асыміля´цыя няпо´ўная
ассимиляция слогов	асыміля´цыя складо´ў
ассимиляция соседних звуков	асыміля´цыя сусе´дніх гу´каў
ассимиляция несмежных звуков	асыміля´цыя нясуме´жных гу´каў
аттрибут	атрыбу´т, азначэ´ньне
аттрибутивный	атрыбуты´ўны, азнача´льны
аффикс	а´фікс
аффрикаты	афрыка´ты
беглый звук	выпадны´ гук
безударный гласный звук	ненаціскны´ гало´сны гук
безличный глагол	безасабо´вы дзеясло´ў
безличное предложение	безасабо´вы сказ
бессубъективный, бессубъектный	безасабо´вы, бессуб'екты´ўны, бяссуб'е´ктны
бесформенное слово	бясфо´рмнае сло´ва
билабиальный звук	білябія´льны гук ("двухгубны")
билабилизация	білябіліза´цыя
благозвучие	мілагу´чнасьць (Н.Т.2)
благозвучный	мілагу´чны (Н.Т.2)
будущее время	бу´дучы час
буква	лі´тара, бу´ква
буква заглавная	лі´тара вялі´кая, бу´ква вялі´кая
буква прописная	лі´тара вялі´кая, бу´ква вялі´кая
буква строчная	лі´тара мала´я, бу´ква мала´я
буквальный	літара´льны (Н.Т.2)
букварь	леманта´р, буква´р
буквенный	лі´тарны, бу´квены
вариант произношения	адме´на, варыя´нт вымаўле´ньня
вводное предложение	пабо´чны сказ
вводное слово	пабо´чнае сло´ва
веляризация	вэлярыза´цыя
веляризованный звук	вэлярызава´ны гук
велярный звук	вэля´рны гук
вещественный (предмет)	матар'я´льны (прадмет)
взаимный залог	узае´мны стан (ст. тэр.)
взаимное действие	узае´мнае дзе´яньне
взаимная связь слов	узае´мная су´вязь слоў
взрывный звук	выбухны´ гук
вид (глагола)	трыва´ньне (дзеясло´ва)
вид совершенный	трыва´ньне зако´нчанае
вид несовершенный	трыва´ньне незако´нчанае
вид многократный	трыва´ньне шматразо´вае
вид однократный	трыва´ньне аднаразо´вае
