##Title: Тэрмінолёгія права (БНТ)
##HTMLDescription_BEGIN
<div>
	<p class="dictdesc-st">Створана на падставе:</p>
	<p><b>Тэрмінолёгія права</b>. Менск: Інбелкульт, 1926.</p>
</div>
<div>
	<p class="spoiler">Прадмова</p>
	<p>Апрацаваньне тэрмінолёгіі права Навукова-Тэрмінолёгічная Камісія даручыла ў верасьні 1921 году Члену Камісіі Міколу Гуткоўскаму; апрацаваны ім проект тэрмінолёгіі быў першы раз разгледжаны і прыняты ў Тэрмінолёгічнай Камісіі Гуманітарнае Сэкцыі Інстытуту Беларускае Культуры у ліпні 1924 году ў складзе членаў ІБК: Івана Луцэвіча (Янкі Купалы), Канстантына Міцкевіча (Якуба Коласа), Язэпа Лёсіка, Сьцяпана Некрашэвіча, Уладыслава Чаржынскага і Міколы Гуткоўскага.</p>
	<p>Пасьля рэорганізацыі Інстытуту тэрмінолёгія права была другі раз перагледжана ў Камісіі дзеля вывучэньня савецкага будаўніцтва, у чэрвені-ліпні 1925 году. У часе перагляду былі зроблены некаторыя папраўкі, у васнову якіх паклалі досьлед удзельнікаў камісіі, практычных працаўнікоў у галіне савецкага будаўніцтва, які яны сабралі за часы сваёй працы ў дзяржаўных установах Беларусі. Разам з гэтым Камісія імкнулася, каб тэрмінолёгія адпавядала жывой мове народа і была зразумелай усім кутком Беларусі.</p>
	<p>Пасьля рэдакцыйнага перагляду тэрмінолёгіі ў Правапісна-Тэрмінолёгічнай Камісіі Інстытуту Беларускае Культуры тэрмінолёгія яшчэ раз была перагледжана Праўнаю Сэкцыяй ІБК, дапоўнена новымі тэрмінамі, і гэтыя дапаўненьні, а таксама спрэчныя пытаньні, былі канчальна ўзгоднены з памянёнай Правапісна-Тэрмінолёгічнай Камісіяй.</p>
	<p> </p>
	<p>Менск. Май, 1926 г.</p>
</div>
##HTMLDescription_END
##ArticleLang: ru/be

##Chapter: 1. Сьпіс дзяржаўных устаноў
Административно-Финансовое Управление	Адміністрацыйна-Фінансавая Ўправа
Арбитражная Комиссия при Экономическом Совещании	Арбітражная Камісія пры Экономічнай Нарадзе
Белорусская Контора Государственного Банка	Беларуская Кантора Дзяржаўнага Банку
Бюджетное Управление	Бюджэтная Ўправа
Бюро по Нормализации Труда	Бюро па Нормалізацыі Працы
Валютный Отдел	Валютны Аддзел
Ветеринарное Управление	Вэтэрынарная Ўправа
Высший Совет Народного Хозяйства	Вышэйшая Рада Народнае Гаспадаркі
Главный Комитет по контролю за репертуаром	Галоўны Камітэт па контролі за рэпэртуарам
